id,address,suburb,postcode,price,propertyType,bedrooms,bathrooms,parkingSpaces,studies,furnished,latitude,longitude,closest_primary_lat,closest_primary_long,closest_secondary_lat,closest_secondary_long,closest_train_lat,closest_train_long,closest_tram_lat,closest_tram_long,closest_bus_lat,closest_bus_long,closest_park_lat,closest_park_long
435045479,54 Lyndhurst Street,Richmond,3121,700,House,3,2,1,0,N,-37.82070146,145.0002907,-37.81363,144.99574,-37.83731,144.96665,-37.8264,144.997066,-37.820322,144.998957,-37.817298,144.990178,-37.83096796,145.0029147
421695670,29 James Street,Richmond,3121,660,Townhouse,2,1,1,0,N,-37.827442,145.00063,-37.82957,144.99907,-37.83731,144.96665,-37.8264,144.997066,-37.826102,145.002345,-37.834053,145.000381,-37.83096796,145.0029147
435003695,59B Somerset Street,Richmond,3121,750,Townhouse,3,2,0,1,N,-37.815609,145.003221,-37.81464,145.00748,-37.81648,145.00226,-37.814949,144.991423,-37.818977,145.003571,-37.812662,144.990985,-37.80745804,145.00663
422135926,3/15 Fraser Street,Richmond,3121,300,Apartment,1,1,1,0,N,-37.820331,145.006536,-37.81585,145.00824,-37.81741,145.0028,-37.82756,145.007555,-37.81948,145.007772,-37.834738,145.004646,-37.81742702,145.0151437
422503458,1/24 Bennett Street,Richmond,3121,400,Apartment,2,1,1,0,N,-37.812388,145.005953,-37.81464,145.00748,-37.81648,145.00226,-37.810398,144.9925,-37.811111,145.006873,-37.803747,145.01158,-37.80745804,145.00663
435146427,26/219-227 Auburn Road,Hawthorn,3122,460,Apartment,2,1,1,0,N,-37.827925,145.044218,-37.82028,145.05048,-37.82314,145.04082,-37.822398,145.045844,-37.829776,145.043502,-37.827613,145.044002,-37.81742702,145.0151437
435146599,6/129-131 Riversdale Road,Hawthorn,3122,380,Unit,1,1,1,0,N,-37.828962,145.037499,-37.82646,145.03432,-37.82314,145.04082,-37.821467,145.036439,-37.829159,145.037258,-37.830012,145.043598,-37.81742702,145.0151437
435145747,13/564 Glenferrie Road,Hawthorn,3122,425,Unit,1,1,1,0,N,-37.827302,145.03468,-37.82646,145.03432,-37.77252,145.04448,-37.821467,145.036439,-37.826041,145.034613,-37.830012,145.043598,-37.81742702,145.0151437
435045475,408 Auburn Road,Hawthorn,3122,830,House,3,2,2,0,N,-37.83546,145.042426,-37.83926,145.04589,-37.83988,145.04507,-37.839929,145.033552,-37.829943,145.043781,-37.835806,145.042501,-37.81742702,145.0151437
435045471,1/1 Austin Street,Hawthorn,3122,690,Townhouse,3,1,2,0,N,-37.82304635,145.0221278,-37.82011,145.01838,-37.82251,145.01433,-37.821826,145.022899,-37.820958,145.021115,-37.821346,145.02382,-37.81742702,145.0151437
